GHGRP ID,Landfill ID,Landfill Name,State,City,County,Ownership Type,Landfill Owner Organization(s),Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Finish Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,LFG Use Details,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),End User(s),Project Developer(s),Project Owner(s),Product Supplier(s),Self-Developed,Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided,Latitude,Longitude
1002110.0,1580,I-95 Landfill,VA,Lorton,Fairfax,Public,"County of Fairfax, VA",16544910.0,1995.0,Yes,1.745,0.2,1657-0,Shutdown,Project #1,1991-01-01,1993-01-01,Electricity,Reciprocating Engine,,"Phase 1 - LFG is compressed and conditioned to remove moisture, trap foreign matter, and cool it to fuel four Caterpillar 3516 engines",2.49,3.2,1.4,Dominion Energy Virginia,"Aria Energy, LLC",Energy Power Partners,"Caterpillar, Inc.",No,0.0,0.0,38.68809,-77.23734
1007879.0,1839,Turnkey Recycling and Environmental Enterprise (TREE),NH,Rochester,Strafford,Private,WM,39427783.0,2021.0,Yes,10.91,0.306,166414-0,Shutdown,Project #2,1992-01-01,1993-01-01,Electricity,Reciprocating Engine,,(3) Caterpillar 3516s,2.0,2.4,,Eversource,Bio Energy Partners,"WM Renewable Energy, LLC","Caterpillar, Inc.",No,0.0,0.0,43.2448,-70.9695
1004550.0,217,Monterey Peninsula SLF,CA,Marina,Monterey,Public,"Monterey Regional Waste Management District, CA",13569947.0,2021.0,Yes,2.349,,274-0,Shutdown,Project #1,1983-01-01,1994-01-01,Electricity,Reciprocating Engine,,Original project: 2 Waukesha engine generators,1.2,,,Monterey Peninsula SLF; Pacific Gas and Electric Company (PG&E),"Biogas Energy Solutions, LLC",,General Electric - Distributed Power,No,0.0,0.0,36.71333,-121.76667
1011793.0,464,Macon Bibb Walker Road MSWL,GA,Macon,Bibb,Public,"Macon-Bibb, GA",4416070.0,2021.0,Yes,0.633,0.023,529-0,Shutdown,Project #1,1986-01-01,1995-01-01,Direct,Direct Thermal,,"2 to 4 brick kilns, 2 miles away",,,1.3,Cherokee Brick & Tile,Cherokee Brick & Tile,,,Yes,0.0,0.0,32.7995,-83.6107
1002720.0,1947,Granger Grand River LF,MI,Grand Ledge,Clinton,Private,Granger Waste Management Corp.,8199515.0,2021.0,Yes,0.534,0.0,167029-0,Shutdown,Project #1,1991-04-10,1996-01-01,Electricity,Reciprocating Engine,,originally (3) Caterpillar 3516 engines,1.79,2.4,1.0,Lansing Board of Water & Light,Granger Energy,,"Caterpillar, Inc.",Yes,0.0,0.0,42.7896,-84.6935
1011449.0,72,BKK Landfill-Phases I & II,CA,West Covina,Los Angeles,Private,BKK Corporation,49245368.0,1996.0,Yes,11.163,0.546,180224-0,Shutdown,Project #1,1985-01-01,1997-01-01,Electricity,Gas Turbine,,,4.3,,,Southern California Edison (SCE) Company,,Fortistar Methane Group,,No,0.0,0.0,34.0353,-117.913
1004550.0,217,Monterey Peninsula SLF,CA,Marina,Monterey,Public,"Monterey Regional Waste Management District, CA",13569947.0,2021.0,Yes,2.349,,274-1,Shutdown,"Project #1, Expansion #1",1994-01-01,1997-01-01,Electricity,Reciprocating Engine,,Expansion: (1) Caterpillar 3516,0.8,0.8,,Monterey Peninsula SLF; Pacific Gas and Electric Company (PG&E),"Biogas Energy Solutions, LLC",,"Caterpillar, Inc.",No,0.0,0.0,36.71333,-121.76667
1004550.0,217,Monterey Peninsula SLF,CA,Marina,Monterey,Public,"Monterey Regional Waste Management District, CA",13569947.0,2021.0,Yes,2.349,,274-2,Shutdown,"Project #1, Expansion #2",1997-01-01,1998-01-01,Electricity,Reciprocating Engine,,Expansion: GE-Jenbacher 320 engine,0.987,,,"Monterey Regional Waste Management District, CA; Pacific Gas and Electric Company (PG&E)","Biogas Energy Solutions, LLC",,GE Energy - Jenbacher Gas Engines,No,0.0,0.0,36.71333,-121.76667
1002493.0,491,Settler's Hill Recycling & Disposal Facility,IL,Batavia,Kane,Public,Kane County Department of Environmental Management,19560637.0,2006.0,Yes,3.105,0.0,556-0,Shutdown,Project #1,1988-01-01,1998-01-01,Electricity,Gas Turbine,,(1) Solar Centaur,3.1,3.1,,City of Geneva Municipal Utility,Bio Energy Partners,"WM Illinois Renewable Energy, LLC",Solar Turbines Incorporated,No,0.0,0.0,41.86965,-88.28543
1004823.0,965,Al Turi LF,NY,Goshen,Orange,Private,"Al Turi Landfill, Incorporated",5946885.0,2003.0,Yes,0.725,,1036-0,Shutdown,Project #1,1988-01-01,1999-01-01,Electricity,Reciprocating Engine,,5 Ruston engine generators initially: (1) 1.2 MW unit and (4) 0.7 MW units,4.0,4.0,,"Orange & Rockland Utilities, Inc.",,"Ameresco, Inc.",,No,0.0,0.0,41.39763,-74.32233
